file_name,folder_name,text
12-22-20 Group Letter Stand With Us_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received more than 2300 submissions of the comment below. Other identical comments may have been posted separately.

From: [email redacted] on behalf of Adam Scott Glantz Sent: Tuesday, December 22, 2020 3:35 PM To: Ethnic Studies Subject: [EXTERNAL] Comment on the Ethnic Studies Model Curriculum

Keep Hate and Bias Out of CA Public Schools

Submitted At 2020-12-22 23:35:32 Please enter your name Adam Scott Glantz Please enter your zip code 20191-1747 Please enter your email [email redacted] Personalize your message to CA officals: Dear California Department of Education,

I urge you to revise the ESMC to:

1. Remove content that celebrates or glorifies current and historical figures who who have promoted antisemitism and other destructive ideas. 2. Define antisemitism in a way that covers all forms of this hatred and reflects the real-life experiences of Jewish students and communities. 3. Ensure all sections and lesson plans align with the standards in chapter 1 regarding critical thinking and how to teach ethnic studies in a K-12 environment.

I also urge you to REJECT:

1. Demands to exclude or edit down any definition of antisemitism to the point where it no longer reflects the experiences of Jewish students and communities. 2. Pressure to favor any single community over others. Arabs, Jews Armenians, Sikhs, and others should be treated equally in the ESMC. 3. Recommendations to reverse changes that encourage critical thinking instead of one sided political agendas in the curriculum.

I add my name in support of the StandWithUs December 2020 ESMC Analysis and Recommendations.

Sincerely, Submission ID



5fe282c440a570657a7cb456



"
1-7-21 Group Letter Antisemitism 1_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received 109 submissions that contained the language below. Other identical comments may have been posted separately.

From: Judith Herzog Sent: Thursday, January 7, 2021 8:02 AM To: Ethnic Studies Subject: [EXTERNAL] Ethnic Studies Model Curriculum

Dear SBE Members,

I would like to thank you for listening to my concern regarding the Israeli and Jewish American community here in California around the topic of the Ethnic Studies curriculum and for the revisions that have been made accordingly.

I stand by the IQC's final product, however would like to reiterate the importance of our demands:

1. I think it is imperative to include a definition of antisemitism in the glossary for teachers to refer to, along with a link to the official IHRA definition of antisemitism - https://www.holocaustremembrance.com/working-definition-antisemitism

2. Please ensure that the finalized curriculum does not contain any BDS or antisemitism, like the content that was previously removed.

3. I ask that you remove mentions of historical figures that engaged in antisemitic rhetoric or behavior.

I appreciate my right as a California constituent to influence my children's' education, and with the power vested in the CDE I ask that you continue to act on your responsibility to give an apolitical curriculum to our local school boards, and set this standard for the many states that will follow in California's footsteps.

Thank you,



"
12-22-20 Group Letter Jewish Americans 2_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received 66 submissions that contained language from the bullets below. Other identical comments may have been posted separately.

From: Barbara Miller Sent: Tuesday, December 22, 2020 3:38 PM To: Ethnic Studies Subject: [EXTERNAL] Ethnic Studies

1. I appreciate the two lesson plans on Jewish Americans � Sample Lessons 40 and 41, Antisemitism and Jewish Middle Eastern-Americans and Jewish Americans: Identity, Intersectionality, and Complicating Ideas of Race.

o Please retain the above lessons.

o Please add ADL's lesson BINAH � Building Insights to Navigate Antisemitism and Hate

2. Thanks for listing antisemitism as a form of bigotry and oppression in the ESMC, especially at a time of increasing hate crimes and incidents targeting Jews. o Please use the International Holocaust Remembrance Alliance's definition of antisemitism, which the European Union and U.S. State Department adopted during the Obama Administration.

3. Please provide transparency and an opportunity for public comment in all phases of the development of a final ESMC.

4. I support a pedagogically sound Ethnic Studies course incorporating ""core values of equity, inclusiveness, and universally high expectations"" (Education Code section 51226.7) to enrich California students' understanding of American history and current events.

Barbara Miller Novato, CA



"
12-21-20 Group Letter Terrorism Support_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received 15 submissions that contained the text below. Other identical comments may have been posted separately.

From: Angelina Kazmaier Sent: Monday, December 21, 2020 2:55 AM To: Ethnic Studies Subject: [EXTERNAL] Terrorism Support

Dear CUNY,

I'm extremely disturbed by the recent Professional Staff Congress resolution that supports Leila Khaled, an archterrorist. Academic freedom is important, but it is also just as important not to promote and incite to violence. Leila Khaled contiues to promote terrorism, and still is celebrated for her crimes. How do you think it makes her victims feel that CUNY supports people like this? I hope the rest of the administration does not support terrorism, because this is unacceptable.



"
12-24-20 Group Letter Remove Critical Ethnic Studies 2_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received more than 1900 submissions that contained the text below. Other identical comments may have been posted separately.

From: [email redacted] on behalf of ElinaKaplan Sent: Thursday, December 24, 2020 5:11 PM To: Ethnic Studies; [emails redacted]; Tony Thurmond Cc: [emails redacted] Subject: [EXTERNAL] Remove Critical Ethnic Studies Foundation from CA Ethnic Studies

Dear California Department of Education and State Board of Education,

I am writing to express concern about the Critical Ethnic Studies' (ES) polarizing foundation which still corrupts the ESMC - a curriculum that, rather than dividing, should build bridges among students and ethnic groups. I ask that you remove the Critical ES foundation from the Guiding Values and Principles AND the resulting lessons.

This includes:

1. Removing the indoctrinating Critical Ethnic Studies ideology from the Guiding Values and Principles.

2. Replacing the narrow Critical ES language and leading questions that assume a foregone conclusion, with broader constructive language that invites inquiry and analysis from multiple perspectives.

3. Removing content that promotes violence or victimhood, or demeans any ethnic group.

4. Replacing the narrow ideological lens that romanticizes any one-sided political, economic, militant, or separatist movement, with a balanced evaluation including both positive and negative sides of the movement or ""ism.""

5. Replacing the unvetted list of A-G courses in Appendix C with courses such as those of the Los Angeles Unified School District's (LAUSD), which are not based on a Critical ES approach.

I add my voice to the requests from the Alliance for Constructive Ethnic Studies. We all want a Constructive Ethnic Studies curriculum, such as that of the LAUSD, which represents both contributions and struggles of ethnic groups and confronts racism, while building mutual understanding among all students and fostering balanced analysis.

Thank you for your work to date on improving the ESMC and for your thoughtful consideration of the above crucial revisions.

Respectfully, ElinaKaplan



Foster City



"
12-8-20 Group Letter Inclusive AAPI Unit_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"Note: The California Department of Education received an additional580 submissions that contained language in this comment prior to the third field review.

From: Theresa Kuo Sent: Tuesday, December 8, 2020 7:52 AM To: Ethnic Studies Cc: [email redacted] Subject: [EXTERNAL] [APISBMA] Inclusive AAPI Unit

Dear California Department of Education Instructional Quality Commission,

I support the Asian Pacific Islander School Board Members Association (APISBMA) position that the following revisions be made to the third draft of the Ethnic Studies Model Curriculum (ESMC) to be presented to the IQC in November 2020:

1. Restore lesson plans on Cambodian Americans and Asian Americans and Pacific Islanders (as a pan-ethnic group) that were present in the July 2019 draft, specifically curricula on: - Myths and Realities Surrounding the Asian Pacific Islander American Community - Cambodian Americans � Deportation Breaking Families Apart

2. At minimum, include additional lesson plans for Japanese Americans, Korean Americans, Vietnamese Americans, and Asian Indian Americans. These ethnic groups represent some of the largest Asian American and Pacific Islander (AAPI) ethnic groups according to 2010 Census data.

The ""Asian American and Pacific Islander Studies"" unit must offer the foundational overview of the AAPI pan-ethnic identity, include the full spectrum of the AAPI community, and align with the expansive CDE vision imagined in Chapter 3. I urge you to protect and improve the Ethnic Studies Model Curriculum and reach out to AAPI community stakeholders to review lesson content for authenticity and prior to submission to the IQC in November.

3. As a first generational Chinese, I know what it is like to grow up being part of the only Chinese family in a small town (Scranton, PA). I wish there were class lessons about the Asians (let alone Chinese) in school to give me support for being ""different"". I was stared at, told to get off their property, asked if something was wrong with my eyes, called names, etc. Other students and parents would have benefited knowing the history of Asians, Pacific Islanders, etc. Ignorance of facts breeds stupidity, racial discrimination, poor self esteem, etc. What's civics without world knowledge?

Sincerely, Theresa Frances Kuo Cool and definitely chic senior! Retired Occupational Therapist



"
1-20-21 Group Letter Concerns and Reservations_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received 94 submissions that included the language below. Other identical comments may have been posted separately.

From: Joyce Lin Sent: Wednesday, January 20, 2021 10:42 AM To: Ethnic Studies Subject: [EXTERNAL] Comments on Ethinc Studies Model Curriculum

Dear Department of Education,

To begin, I wanted to applaud your effort to increase awareness of diversity in the United States. As we face an increasingly global economy and diverse world, it is imperative that we grow in our awareness of cultural differences.

However, as I review the prospective curriculum as presented in the final field review, I have my concerns and reservations. From the content, I believe it is unduly presenting information that inspires hatred and fear in students. At their young age, immersing them in this much hatred and fear will negatively impact their psychological development and potentially destroy the future of a whole generation. Instead, teaching them to choose love and forgiveness in place of hatred and fear is the only way for society to be united instead of dividing into fragmented divisions.

To reiterate, I believe your new curriculum misses the mark in increasing cultural awareness and diversity. It is filled with too much language that will inspire fear and hatred towards certain demographics and sow disunity in a nation that needs more open mindedness towards all people now more than ever. We instead need a curriculum based on objective facts instead of based on sensationalism, one that celebrates the achievements of people who succeeded despite the odds instead of focusing on hatred towards others. I implore you to reconsider presenting this curriculum to our impressionable and crucial younger generation, on whom rest the hopes of our nation's future, and instead teach them how to respect all people and ideas rather than increasing fear and hatred towards certain people and ideas.

Thank you for your time and consideration in hearing the opinions of the American people and the general public.

Sincerely,

Joyce Lin



"
1-20-21 Group Letter Jewish Journal Article_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received 13 submissions that consisted of language pasted from the article linked below. Other identical comments may have been posted separately.

From: Aumrivera Sent: Wednesday, January 20, 2021 4:13 PM To: Ethnic Studies Subject: [EXTERNAL] Jews are the only group in California's proposed curriculum for whom the term ""privilege"" is used. Why is it that this curriculum has shown antisemitism in it's drafts, over & over again?!

To the Ethnic Studies,

It is very disappointing to have to continuously write to stop antisemitism from being implemented in our children's' Ethnic curriculum studies.

Jews are the only group in California's proposed curriculum for whom the term ""privilege"" is used. White privilege is racist and it needs to stop. We need to celebrate our differences and educators to teach without prejudice, promote tolerance, not hostility!

https://jewishjournal.com/commentary/327667/jews-have-until-thursday-to-influence-ethnic-studiescurriculum/

The current draft of the mandatory Ethnic Studies Model Curriculum in California celebrates figures who have promoted anti-Semitism (including leaders of the Third World Liberation Front and the anti-Jewish leaders they admire); it uses racial distinctions to divide people into those who are considered white (and therefore privileged) and those who are non-white (and therefore oppressed); and in the case of Jews, it combines the two, pitting ""Jews of color"" against Jews who are tarred with ""conditional whiteness"" and its attendant ""racial privilege.""

Best,

Mrs. S. Rivera



"
1-19-21 Group Letter Support APISBMA_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"Note: The California Department of Education received an additional 20 submissions that contained the language below. Other identical comments may have been posted separately.

From: Anthony Duarte Sent: Tuesday, January 19, 2021 3:39 PM To: Ethnic Studies Cc: [email redacted] Subject: [EXTERNAL] Ethnic Studies Model Curriculum

State Board of Education c/o California Department of Education Curriculum Frameworks and Instructional Resources Division 1430 N Street, Suite 3207 Sacramento, CA 95814

January 19, 2021

Dear State Board of Education,

I write this letter in support of the Asian Pacific Islander School Board Members Association (APISBMA) request for revisions to the final draft of the Ethnic Studies Model Curriculum (ESMC) to be presented to the State Board of Education (SBE) in March 2021.

The desired revisions which are focused on usability, accessibility, and equity are as follows:

1. The ""Asian Americans and the Model Minority Myth"" Lesson, Sample Lesson #31 in Appendix A, should be listed as the first sample lesson in the AAPI unit and be rewritten to remove stereotypes and to incorporate reflection based on analyzing data.

2. Language should be added to Chapter 3: Instructional Guidance for K-12 Education to frame ""Asian Americans and the Model Minority Myth"" as a foundational lesson to the AAPI Unit and as an indispensable component of any Ethnic Studies course.

3. In the AAPI Unit, the pan-Asian lesson plans should be listed first, followed by one lesson plan per ethnic group in alphabetical order, and concluding with an additional resources section for groups with more than one lesson plan. Groups with more than one lesson plan should provide input on which lesson plan is foundational for their group.

4. Appendix A should be reclassified as ""Chapter 4"" in the ESMC and ""Chapter 4: Bibliography"" should be reclassified as ""Chapter 5: Bibliography"" Appendices A and B (formerly Appendices B and C). The lesson plans must be highlighted as core content for educators to build Ethnic Studies courses, not as supporting content in an Appendix.

""Asian American and Pacific Islander Studies"" is an indispensable asset to the teaching of Ethnic Studies. I join local, statewide, and national organizations in support of the final approval of the ESMC; with these edits to the AAPI Unit and to the ESMC in general, I believe California students will soon experience a curriculum that better represents the diversity of our community.



Thank you. Sincerely,

Anthony Duarte [email redacted] School Board Member Hacienda La Puente USD



"
12-8-20 Group Letter Arab American 2_embedded.txt,Third Field Review (Dec 2020 - Jan 2021)_embeddedText,"The California Department of Education received an additional 4 submissions of the comment below during the third field review, in addition to over 3,300 copies received previously. Other identical comments may have been posted separately.

From: [email redacted] on behalf of Brian Wren [email redacted] Sent: Monday, December 7, 2020 12:56 PM To: Ethnic Studies Subject: [EXTERNAL] Protect Butler's Palestinian students

Dear The Instructional Quality Commission CA,

As a supporter of Jewish Voice for Peace, I am writing to express my disappointment at the the treatment of Arab American studies in the CA ESMC.

Arab American studies belongs within Asian American studies, not relegated to the index of the ESMC � and the fact that Palestine is not mentioned at all is completely unacceptable. Students deserve an education that isn't hampered by anti-Palestinian lobbying. A robust Arab American series within the ESMC is absolutely critical.

California often paves the way for progressive legislation nationwide. But if the ESMC is adopted as proposed, it will be lifted up and promoted by anti-Palestinian organizations as a model for other states.

Furthermore, the IHRA's controversial ""definition"" of antisemitism must not be included in the ESMC. This definition exists to silence critics of Israel. It has nothing to do with Jewish safety or dismantling real antisemitism. In fact, using accusations of antisemitism for political purposes puts Jewish people in danger. This deeply flawed definition must not become a part of California's statewide curriculum.

I am calling on you to:

1) Return the Arab American lesson plan to where it belongs, within Asian American studies 2) Stop censoring Palestinian narratives from Arab-American lesson plans, and 3) Remove all definitions of antisemitism that conflate criticism of Israel or Zionism to antisemitism

Sincerely, Brian Wren [email redacted]



"
